product_id,name,variant_label,image,cost_price,sell_price,profit,match_status
PROD-0550,MODIAN 925 Sterling Silver Mosaic Style Colorful Zirconia Big Pendant Necklace Fashion Stackable Jewelry For Women Gifts,,https://i.ibb.co/hxwTLwWQ/0550-modian-925-sterling-silver-mosaic-style-colorful-z-webp.webp,"₦109,059","₦134,900","₦25,841",matched
PROD-0551,MODIAN 925 Sterling Silver Multi-color CZ Simulated Diamond Eternity Band Rings For Women Fashion Irregular Wave Wedding Jewelry,,https://i.ibb.co/1fLjWKJQ/0551-modian-925-sterling-silver-multi-color-cz-simulate-webp.webp,"₦27,254","₦37,900","₦10,646",matched
PROD-0552,Modian 925 Sterling Silver Multicolour Enamel Hearts Finger Ring Simple Stackable Trendy Original Jewelry For Women Party Gifts,Ring Size: 5,https://i.ibb.co/S4DkFHX1/0552-modian-925-sterling-silver-multicolour-enamel-hear-webp.webp,"₦36,115","₦48,900","₦12,785",matched_variant
PROD-0552,Modian 925 Sterling Silver Multicolour Enamel Hearts Finger Ring Simple Stackable Trendy Original Jewelry For Women Party Gifts,Ring Size: 6,https://i.ibb.co/S4DkFHX1/0552-modian-925-sterling-silver-multicolour-enamel-hear-webp.webp,"₦36,115","₦48,900","₦12,785",matched_variant
PROD-0552,Modian 925 Sterling Silver Multicolour Enamel Hearts Finger Ring Simple Stackable Trendy Original Jewelry For Women Party Gifts,Ring Size: 7,https://i.ibb.co/S4DkFHX1/0552-modian-925-sterling-silver-multicolour-enamel-hear-webp.webp,"₦36,115","₦48,900","₦12,785",matched_variant
PROD-0552,Modian 925 Sterling Silver Multicolour Enamel Hearts Finger Ring Simple Stackable Trendy Original Jewelry For Women Party Gifts,Ring Size: 8,https://i.ibb.co/S4DkFHX1/0552-modian-925-sterling-silver-multicolour-enamel-hear-webp.webp,"₦36,115","₦48,900","₦12,785",matched_variant
PROD-0552,Modian 925 Sterling Silver Multicolour Enamel Hearts Finger Ring Simple Stackable Trendy Original Jewelry For Women Party Gifts,Ring Size: 9,https://i.ibb.co/S4DkFHX1/0552-modian-925-sterling-silver-multicolour-enamel-hear-webp.webp,"₦36,115","₦48,900","₦12,785",matched_variant
PROD-0553,MODIAN 925 Sterling Silver Oblique Rhombic CZ Pendant Necklace Trendy Stackable Neck Chain for Women Wedding Fine Jewelry,,https://i.ibb.co/4ZKKYRQK/0553-modian-925-sterling-silver-oblique-rhombic-cz-pend-webp.webp,"₦38,476","₦51,000","₦12,524",matched
PROD-0554,MODIAN 925 Sterling Silver Opal & Colorful Zirconia Luxury Finger Ring Platinum Plated Stackable Trendy Jewelry For Women,Gem Color: Rhr1761 • Ring Size: 5,https://i.ibb.co/Q3YjwpVQ/0554-modian-925-sterling-silver-opal-colorful-zirconia-webp.webp,"₦36,110","₦48,900","₦12,790",matched_variant
PROD-0554,MODIAN 925 Sterling Silver Opal & Colorful Zirconia Luxury Finger Ring Platinum Plated Stackable Trendy Jewelry For Women,Gem Color: Rhr1761 • Ring Size: 6,https://i.ibb.co/Q3YjwpVQ/0554-modian-925-sterling-silver-opal-colorful-zirconia-webp.webp,"₦36,110","₦48,900","₦12,790",matched_variant
